5
5
3	3	3	5	5
5	2	2	2	3
3	2	5	1	5
5	5	5	5	2
5	5	2	5	2
46	45	39	12	14	45	11	50	12	13	45	17	18	24	37	20	39	48	46	18
16	35	39	44	32	10	35	11	36	25	35	17	45	10	14	47	33	32	15	32
41	17	26	25	23	18	33	33	28	26	47	12	30	27	49	23	33	38	27	26
38	28	31	22	30	13	47	29	13	30	43	13	28	19	45	18	28	28	37	24
29	18	24	38	30	24	35	19	34	14	31	29	18	23	27	32	43	43	16	41
1 5   
1.5 10
1
1.5
43	19	48	23	40	30	26	49	49	11	12	41	12	32	25	36	39	8	1	28
0	4	2	22	2	11	37	40	3	1	32	46	45	12	8	20	37	25	12	46
39	0	5	49	23	43	48	38	13	37	47	25	26	26	2	41	15	30	12	8
24	11	0	4	31	6	36	46	23	6	13	22	47	21	3	30	10	15	44	3
50	30	24	0	23	11	19	6	40	15	29	48	41	47	48	32	47	10	44	27
26	31	34	48	0	10	19	9	8	13	18	4	28	41	16	32	38	42	46	6
33	46	34	45	50	0	19	14	11	37	47	7	43	37	14	17	35	31	28	26
24	6	10	36	46	27	0	41	20	49	32	12	35	20	17	21	35	29	46	41
38	50	50	45	43	17	28	0	47	30	9	3	47	28	12	17	12	38	36	15
50	3	50	30	14	8	46	19	0	40	1	30	10	16	48	15	12	32	15	25
50	50	38	34	19	7	17	4	30	0	6	11	18	13	33	44	6	38	8	47
46	50	14	16	13	37	39	26	28	13	0	28	16	46	13	24	4	26	13	39
49	24	22	23	9	29	6	24	32	14	26	0	28	39	40	10	5	22	15	33
8	6	23	11	11	44	6	37	40	9	29	2	0	10	10	12	15	46	23	32
42	33	22	42	10	3	42	44	16	17	49	32	28	0	38	44	39	38	31	31
49	10	25	17	30	31	33	26	43	8	44	27	24	17	0	21	45	28	43	47
23	13	38	10	37	12	33	4	12	31	7	47	43	35	45	0	38	11	11	41
32	22	21	39	47	24	3	28	26	18	46	13	21	23	39	24	0	39	23	47
13	21	6	12	23	45	27	41	4	2	25	38	31	20	6	26	13	0	1	38
14	48	11	30	5	17	34	29	29	48	20	22	44	39	44	9	5	27	0	28
14	33	18	34	30	36	19	22	33	24	48	28	7	10	31	25	30	28	13	0
21	27	34	33	24	7	50	6	49	44	40	34	37	13	17	29	3	30	47	46
0	27	23	46	25	38	38	10	29	29	37	36	25	3	24	20	11	39	29	22
48	0	23	38	17	2	47	42	22	25	15	31	50	24	22	37	43	40	20	41
6	47	0	1	50	44	11	39	33	28	3	37	18	37	33	28	7	12	21	5
46	41	23	0	48	40	48	20	43	50	14	2	39	11	32	9	45	32	21	15
21	7	2	48	0	40	28	19	15	19	1	33	13	27	9	17	35	9	10	30
40	8	34	16	22	0	5	32	6	14	15	40	40	46	21	19	28	22	42	50
46	31	21	23	2	1	0	46	50	24	21	17	32	7	16	26	4	33	11	13
15	31	7	17	33	32	37	0	46	39	12	11	23	49	42	27	15	14	27	46
16	41	44	23	13	34	1	22	0	24	25	1	11	32	5	41	28	42	31	34
32	40	12	15	42	21	14	2	12	0	6	3	43	13	24	8	12	49	34	47
31	4	26	31	7	27	36	25	24	44	0	47	48	19	30	18	17	17	34	17
40	3	20	36	36	27	17	3	9	15	33	0	25	40	46	48	29	23	48	25
46	27	17	6	30	1	38	29	48	50	25	48	0	3	16	33	33	31	33	2
1	12	6	18	4	18	33	17	34	48	50	13	44	0	23	48	28	20	2	34
28	14	11	17	47	26	18	16	14	26	27	41	12	24	0	21	26	27	34	39
39	30	12	38	1	5	37	7	9	41	41	16	34	2	34	0	11	2	29	31
10	45	18	35	10	10	28	46	6	15	26	43	16	4	36	28	0	32	24	17
11	50	29	48	45	31	18	24	14	41	50	20	15	40	11	32	30	0	15	19
43	44	15	8	30	19	43	36	3	13	10	10	48	20	19	20	40	29	0	27
14	14	50	26	28	14	26	17	28	42	26	19	45	17	46	20	10	22	21	0
4	24	15	44	17	43	39	14	23	6	26	22	8	40	5	37	44	47	24	33
0	41	27	47	25	42	26	21	9	19	12	38	41	23	23	44	12	14	31	1
33	0	37	20	37	24	10	9	1	19	2	5	11	18	37	34	13	2	23	19
8	3	0	45	45	28	5	2	5	31	19	33	4	20	25	30	13	33	47	16
32	6	13	0	44	23	50	38	50	2	41	15	7	27	35	38	7	33	44	2
28	14	18	42	0	39	21	18	16	4	48	26	32	20	19	8	11	10	15	36
31	17	27	35	34	0	44	32	12	3	7	21	33	13	29	35	41	27	6	5
28	22	45	21	13	14	0	36	3	29	18	1	32	42	10	18	43	22	38	9
32	35	23	14	35	47	33	0	15	17	30	1	9	8	37	13	27	42	27	6
19	27	2	37	20	44	14	28	0	8	17	29	29	21	22	5	21	36	16	35
11	11	8	17	18	4	50	18	13	0	27	21	4	1	20	30	11	10	19	19
43	29	2	48	34	4	4	9	14	37	0	5	14	8	15	39	18	45	34	41
11	10	48	15	36	44	26	6	25	14	20	0	8	15	25	20	5	42	16	49
35	20	2	9	19	25	45	38	44	43	50	27	0	9	38	23	29	50	22	28
3	26	45	1	50	8	22	28	33	23	1	11	36	0	8	20	45	17	50	18
4	49	14	41	11	39	22	30	34	12	36	35	17	11	0	43	8	39	24	10
22	20	37	21	6	33	12	46	20	6	47	4	12	5	43	0	10	31	32	18
3	2	24	15	7	9	33	19	36	4	14	31	39	34	6	45	0	9	13	25
47	49	5	4	3	20	46	31	43	5	28	8	7	31	36	14	38	0	49	4
32	43	28	14	12	1	2	23	19	11	49	48	26	46	24	19	38	8	0	34
47	31	27	36	6	25	24	47	45	13	9	5	14	17	22	49	15	37	41	0
25	40	24	33	22	42	14	30	9	41	4	27	2	15	16	11	41	30	30	3
0	13	36	5	36	20	5	1	7	11	30	34	4	27	28	33	50	20	41	20
