2
2
5 4
2 5
30 39 35 48 42 10 43 40 48 31 23 21 13 28 16 20 40 49 13 12
15 47 47 48 15 23 46 13 33 30 35 38 40 24 19 39 48 41 34 14
1 5
1.5 10
1
1.5
28	44	48	30	28	2	6	12	31	37	14	38	42	50	5	50	4	5	6	8
0	5	29	11	27	25	19	20	39	24	16	13	40	39	6	15	15	40	6	9
15	0	3	16	12	9	10	30	22	8	6	23	16	30	8	21	3	48	40	10
38	13	0	24	25	49	25	13	5	18	47	35	27	47	9	24	26	35	15	16
38	41	18	0	32	36	17	15	14	31	33	18	5	30	32	39	39	7	31	16
20	22	42	43	0	26	48	31	8	10	24	37	6	1	29	41	32	37	49	11
29	46	1	10	20	0	47	14	15	37	32	20	7	7	3	6	5	6	22	13
4	10	3	12	19	3	0	42	23	13	28	35	34	44	47	9	5	6	35	45
3	14	9	9	50	35	37	0	27	46	33	36	25	25	37	18	39	33	38	36
27	8	33	12	2	3	14	37	0	14	28	23	10	43	37	3	46	17	22	28
39	7	37	22	45	4	22	18	44	0	37	1	25	11	4	27	27	33	33	10
47	44	33	16	46	27	28	30	26	10	0	17	8	28	44	17	6	38	6	11
7	29	23	47	40	5	48	6	48	15	50	0	3	32	47	9	42	30	47	4
29	28	28	22	5	41	21	46	32	5	11	14	0	2	50	11	17	38	10	46
24	8	15	10	14	41	50	44	48	29	6	10	29	0	43	46	15	12	14	36
1	43	38	46	17	37	16	41	13	35	6	42	47	19	0	34	38	37	40	28
17	32	10	49	34	8	36	14	34	28	4	22	35	3	26	0	1	49	25	16
9	18	35	22	7	33	34	30	15	22	21	45	30	25	9	46	0	44	39	9
40	26	10	6	37	26	27	2	34	33	23	20	41	10	20	6	34	0	20	32
16	21	19	13	6	49	35	22	35	33	19	39	44	7	7	38	31	19	0	50
27	4	32	21	33	33	34	16	4	34	39	20	50	11	2	37	27	19	2	0
9	12	40	30	25	41	9	9	13	32	32	41	1	8	47	29	37	35	34	13
0	7	5	14	39	23	7	9	12	48	39	38	44	10	16	10	36	30	22	20
14	0	47	31	36	22	50	22	34	11	47	19	31	3	15	30	40	40	23	4
33	12	0	36	46	42	9	5	43	36	49	11	50	32	17	15	15	19	31	35
35	21	25	0	45	5	2	30	18	12	10	40	27	15	24	7	35	11	3	21
38	3	22	6	0	7	29	24	40	6	7	48	24	27	33	11	28	5	16	50
23	46	23	15	35	0	45	35	34	31	35	17	41	35	2	45	20	39	39	21
5	48	16	16	10	20	0	35	1	23	5	34	12	25	43	4	4	11	35	32
12	25	26	22	2	42	10	0	31	23	27	22	25	27	28	13	40	20	7	8
46	25	26	26	38	41	19	2	0	34	27	42	46	23	43	3	17	28	7	20
8	17	41	5	26	4	24	4	46	0	44	39	29	7	18	23	31	12	5	9
42	46	40	14	24	20	50	16	1	18	0	9	43	25	23	1	38	33	1	38
27	19	33	41	46	27	8	27	24	34	20	0	37	43	3	45	6	25	22	44
50	6	19	2	31	21	43	33	22	21	34	50	0	44	9	10	7	8	33	18
4	40	41	47	31	33	33	21	24	43	38	26	13	0	34	5	28	40	37	35
23	20	27	37	43	32	19	41	39	42	27	45	34	11	0	16	25	6	27	15
6	13	18	25	41	15	10	36	17	13	18	30	5	29	45	0	45	15	6	27
49	21	47	29	29	22	22	49	40	31	8	8	32	33	6	6	0	12	32	42
1	5	44	12	10	1	25	27	24	30	30	10	34	21	50	50	37	0	7	30
39	7	28	23	12	50	7	17	2	28	14	21	37	11	27	17	3	5	0	17
41	48	32	49	45	9	30	6	9	44	3	38	45	48	36	15	4	21	5	0
