5
5
5	5	2	4	1
1	1	4	4	2
1	5	5	5	3
2	1	3	5	4
3	4	3	5	4
49	23	33	38	27	26	19	41	35	48	35	42	31	28	15	27	35	22	43	43	28	49	37	25	18	49	39	19	22	39	43	34	17	43	17	24	20	24	40	34	11	34	43	44	40	12	43	28	26	22
45	18	28	28	37	24	48	32	25	38	39	47	31	36	20	23	37	40	48	41	49	25	26	16	19	30	41	24	17	44	21	13	23	43	10	37	10	36	22	21	13	26	31	22	22	34	33	49	44	21
27	32	43	43	16	41	35	36	32	41	44	32	16	14	49	33	48	27	39	31	49	15	12	13	16	12	16	10	40	21	43	41	31	36	42	41	29	36	21	46	11	18	47	50	23	25	22	24	50	24
20	39	48	46	18	20	43	25	18	26	15	23	12	37	45	23	41	27	34	39	13	45	15	10	10	17	13	22	11	45	47	29	22	37	17	21	37	10	46	45	32	20	43	41	21	25	39	34	49	36
47	33	32	15	32	12	42	26	43	40	31	35	45	22	45	48	45	13	45	27	12	17	50	50	49	44	24	33	40	39	15	23	17	28	19	18	41	27	32	46	42	28	10	24	44	36	17	11	17	49
1 5   
1.5 10
1
1.5
23	6	26	47	19	12	1	14	40	48	24	37	11	37	13	41	21	17	48	22	47	18	1	49	47	15	13	3	36	40	32	39	34	38	22	17	47	17	19	35	1	4	39	36	26	39	42	48	27	42
0	7	12	49	35	39	9	28	38	46	49	22	34	34	34	7	9	34	45	15	30	26	19	2	22	45	31	48	37	46	25	38	31	13	31	4	33	33	38	22	1	38	20	47	48	32	42	6	9	14
20	0	19	33	8	1	30	33	46	47	12	43	46	27	16	44	2	22	22	47	18	5	15	46	32	26	4	19	38	43	29	3	50	46	5	47	3	28	26	31	5	24	30	3	2	2	39	12	1	24
50	37	0	43	6	8	5	30	12	21	11	21	49	38	13	16	36	27	33	39	15	28	42	21	22	18	32	6	23	8	31	36	2	24	22	16	7	46	28	48	32	35	26	34	9	5	43	20	47	18
3	29	30	0	3	2	4	35	20	13	7	41	50	13	12	32	26	34	4	49	17	30	10	33	33	14	7	34	12	37	15	3	40	37	49	44	50	21	14	23	3	15	40	24	33	39	42	43	8	26
40	46	8	8	0	34	27	41	8	45	30	6	7	47	27	41	14	26	22	5	32	26	41	41	9	7	23	10	47	11	10	10	34	3	12	16	18	22	32	13	46	6	35	49	10	2	43	9	49	46
20	34	23	39	8	0	42	31	12	12	14	17	50	15	25	20	21	37	23	30	8	22	41	27	47	29	14	13	50	49	22	26	46	1	34	40	20	38	35	21	20	36	38	5	5	6	11	27	25	28
31	22	16	36	19	33	0	50	19	23	28	33	40	45	15	35	9	43	7	33	39	24	36	1	19	49	13	18	39	45	22	6	36	21	8	4	35	22	31	42	15	38	49	41	23	4	43	37	48	20
28	50	18	15	43	9	27	0	12	19	32	39	31	42	11	34	13	46	20	30	15	9	48	50	42	4	43	20	33	2	37	27	4	50	16	20	24	35	22	26	26	17	29	11	16	19	2	43	40	49
27	12	39	23	7	14	27	43	0	20	27	34	25	26	20	31	38	1	29	11	15	24	39	41	44	38	30	25	37	40	27	14	21	47	4	38	27	13	41	47	22	43	49	13	24	7	3	16	34	1
16	12	35	43	11	2	43	21	27	0	44	15	35	17	40	23	42	24	29	26	20	20	33	36	45	16	28	37	24	32	10	31	46	37	13	19	3	4	29	33	3	22	50	7	18	3	27	28	16	13
45	21	12	18	11	45	41	20	17	13	0	25	3	23	27	50	24	27	16	50	16	50	30	33	29	3	11	44	27	28	23	24	8	48	22	22	39	15	18	9	45	44	14	20	19	30	25	9	18	9
10	10	49	49	13	4	4	23	12	48	50	0	34	44	31	33	15	12	12	1	12	11	15	27	38	25	43	26	18	45	14	35	5	14	36	9	10	48	9	22	50	40	29	41	45	50	18	17	17	26
11	7	11	9	29	5	12	33	23	19	39	23	0	17	22	1	38	15	22	24	12	17	2	18	2	50	31	47	47	27	47	22	26	20	46	49	30	43	43	6	7	31	5	2	20	47	16	31	21	40
37	13	22	20	43	26	23	26	4	1	37	32	17	0	35	5	37	9	27	30	19	15	8	36	4	31	40	36	24	35	49	11	23	12	4	21	12	2	49	4	36	20	6	41	10	14	20	47	9	17
8	15	24	41	28	9	8	1	23	49	47	15	4	35	0	11	4	8	30	25	4	14	23	48	29	41	9	24	28	48	41	45	42	39	18	13	26	23	35	24	35	33	38	20	7	12	12	32	9	15
39	21	4	16	13	11	22	33	32	6	44	23	37	44	40	0	50	22	32	46	41	34	9	40	18	21	6	19	1	37	42	37	2	4	14	43	4	7	26	4	47	50	9	49	23	47	33	50	19	13
2	11	49	4	11	30	48	23	10	16	11	20	15	27	11	36	0	12	36	12	12	13	17	44	16	43	27	32	16	17	12	37	5	25	46	50	45	12	49	32	15	22	10	48	20	46	8	5	25	48
22	17	42	42	30	1	15	14	48	3	34	46	24	3	41	18	39	0	25	17	10	30	10	50	12	8	42	32	28	16	29	32	50	5	7	21	32	41	5	1	23	44	10	49	42	50	18	2	32	45
8	26	14	33	27	35	5	49	22	29	4	45	49	1	19	13	49	15	0	3	14	35	42	46	13	28	27	45	14	11	26	5	2	32	38	24	40	18	11	16	44	6	29	10	16	34	43	2	44	49
26	47	46	48	7	23	2	1	45	18	5	6	1	12	27	40	21	7	19	0	4	22	43	27	8	49	38	37	32	29	42	21	12	16	49	45	6	44	5	3	10	32	28	37	43	28	46	12	10	38
9	47	34	11	3	6	29	8	37	32	47	2	27	11	10	17	16	42	16	43	0	2	19	47	7	44	8	17	50	41	36	6	46	5	4	42	6	10	4	18	29	16	22	14	48	43	50	11	43	24
21	22	9	30	25	47	49	27	50	36	31	34	46	14	39	37	31	8	26	38	12	0	6	45	29	15	8	43	45	32	30	8	40	46	32	28	22	30	29	10	21	25	47	29	1	37	17	18	34	1
47	21	40	4	35	29	36	43	45	45	36	7	46	6	36	33	7	14	10	25	32	10	0	29	27	19	47	26	44	22	24	7	5	7	29	37	34	4	5	14	21	38	15	9	32	13	3	26	32	16
15	50	9	42	4	14	47	9	14	9	49	21	3	12	43	27	10	22	5	24	5	32	47	0	38	24	33	40	38	18	19	45	16	50	3	41	24	35	18	8	10	37	25	23	46	37	3	47	22	8
8	49	20	37	48	1	21	5	16	1	41	35	24	20	20	14	23	49	40	14	40	16	26	27	0	18	45	21	35	46	44	10	37	43	43	17	34	39	28	14	35	16	17	25	1	12	18	9	48	50
46	41	21	19	14	18	5	11	39	50	35	26	7	39	31	24	17	40	25	29	1	12	7	36	8	0	27	44	34	8	10	15	47	35	37	45	18	50	17	19	36	37	23	21	7	10	10	45	26	45
47	33	11	9	35	41	12	11	35	48	18	27	32	28	24	50	24	31	28	40	8	5	23	1	6	16	0	35	27	17	22	24	50	47	41	45	40	17	32	26	45	21	1	42	37	24	46	34	40	43
9	1	28	43	7	19	43	20	7	19	40	38	45	24	15	50	3	30	20	26	29	4	47	1	47	4	42	0	22	11	22	41	10	29	29	26	12	12	23	20	9	27	41	30	41	24	29	46	9	43
2	20	18	2	47	43	31	27	15	38	28	43	39	8	12	34	2	32	50	50	10	14	28	38	1	22	15	37	0	43	42	17	33	15	46	10	17	38	36	22	14	9	48	23	42	24	12	29	45	15
