5
2
3 4
3 3
5 5
5 2
1 1
17	38	23	14	22	38	35	18	46	47	45	23	33	23	11	41	33	34	15	39	21	19	27	39	26	25	17	20	50	46	38	29	15	42	21	42	39	41	44	18	38	40	28	21	38	39	19	20	21	38	33	42	28	32	28	41	30	25	47	45	34	49	20	32	38	49	29	30	16	20	13	41	21	38	22	25	16	22	25	25	10	47	12	41	44	40	31	32	16	23	11	22	49	20	22	31	46	16	43	11
46	38	19	47	45	29	44	49	41	37	39	25	19	29	47	32	10	22	38	17	26	15	38	22	29	16	29	24	35	49	27	39	50	33	11	25	30	22	35	36	29	33	46	13	11	27	22	21	39	30	39	43	21	36	36	13	50	38	37	16	14	48	21	14	14	49	48	31	13	16	25	26	36	44	37	23	19	17	13	22	42	48	29	22	44	43	43	39	27	46	28	43	16	20	10	34	37	33	27	33
1 5   
1.5 10
1
1.5
49	33	47	17	44	29	12	34	20	45	45	13	48	9	25	27	44	49	28	24	6	18	29	24	12	23	4	26	6	19	50	30	16	38	16	28	40	34	39	20	6	39	11	41	33	33	48	3	20	38	48	8	50	33	7	8	23	30	38	43	47	14	35	27	34	5	2	18	40	26	46	27	48	16	45	14	7	8	25	40	38	32	21	37	32	45	40	19	11	9	28	46	15	24	44	23	48	19	48	46
0	47	12	37	34	12	14	47	50	3	10	20	27	23	9	3	5	46	32	35	37	5	46	43	37	32	24	16	46	28	38	4	12	24	42	19	32	29	47	47	24	42	37	33	40	44	33	12	35	43	30	3	10	32	20	36	23	42	20	32	20	13	15	12	32	6	30	37	19	33	43	16	4	21	46	15	32	7	50	34	42	18	9	43	47	2	3	26	22	47	35	16	34	32	40	15	50	8	19	27
21	0	42	18	8	48	22	26	7	50	22	38	34	49	39	33	43	41	25	5	2	7	44	12	11	26	47	39	23	5	16	21	42	31	40	14	38	20	13	40	45	35	49	33	2	3	49	26	39	29	8	35	48	25	8	29	21	48	8	13	36	13	40	35	25	4	10	39	39	32	26	25	45	4	45	18	45	30	39	7	48	8	49	12	32	25	26	19	3	18	2	26	31	40	35	46	21	13	40	41
39	4	0	16	15	25	15	49	37	22	14	18	15	28	36	6	29	30	8	6	39	23	31	17	7	14	35	29	35	33	26	49	21	3	47	35	11	15	11	50	27	48	16	42	28	47	25	26	29	47	3	18	36	14	48	13	44	26	1	24	11	6	49	44	30	18	24	29	7	26	32	32	20	21	33	35	31	42	25	10	15	45	8	18	21	13	41	41	33	11	49	48	9	44	32	3	13	12	12	6
21	6	9	0	45	6	14	21	19	27	43	42	37	40	25	36	24	10	41	47	3	19	34	38	23	35	7	30	18	34	41	47	46	6	26	44	19	28	14	12	10	9	10	23	13	23	11	14	25	9	24	33	24	30	12	33	38	19	16	44	41	19	12	29	35	3	32	34	11	17	38	24	12	44	48	6	30	36	12	41	20	40	6	44	47	2	38	44	1	41	35	38	28	49	30	20	5	49	9	43
34	44	50	38	0	43	18	35	19	33	19	18	23	22	32	30	26	40	7	9	49	10	13	24	3	12	44	16	23	24	43	11	7	32	33	17	29	11	10	24	35	1	50	19	11	14	5	28	33	46	26	34	4	44	6	6	39	43	23	1	18	50	5	9	10	40	43	43	9	2	37	23	43	31	39	47	38	39	48	24	9	46	10	20	19	33	7	18	41	1	50	34	25	44	4	11	15	14	47	2
21	22	22	4	8	0	21	39	8	35	17	32	48	15	27	16	22	41	5	47	35	37	8	1	2	33	32	1	25	16	36	46	25	6	23	31	29	40	9	34	31	30	23	35	5	35	15	21	5	46	17	12	27	20	37	26	12	45	27	44	27	22	15	25	34	30	45	35	15	19	19	3	32	16	24	42	1	32	35	49	10	29	26	4	16	39	25	10	40	32	18	31	36	48	8	17	11	39	34	1
7	18	11	8	32	29	0	1	26	33	47	22	32	2	19	36	5	37	30	25	29	8	7	13	21	41	20	20	28	35	6	13	16	24	41	47	47	8	2	40	24	39	49	19	11	47	2	28	27	5	30	11	5	37	47	44	39	2	42	4	27	29	34	42	37	47	8	2	29	19	4	33	15	39	19	27	17	4	47	10	23	34	19	7	32	18	25	16	34	45	27	30	23	23	6	22	14	4	31	12
20	45	37	36	19	20	14	0	19	2	6	42	21	19	9	49	14	40	46	47	44	14	6	21	18	29	50	45	33	23	8	5	25	39	39	17	29	16	48	7	48	49	6	6	23	29	3	44	19	5	33	41	47	4	32	25	45	9	26	8	17	14	15	45	5	44	41	9	16	49	32	24	27	47	14	5	49	25	45	22	32	50	26	11	46	43	1	10	50	8	28	5	27	40	4	2	8	35	37	48
